Sign,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,THETA1,THETA2,THETA3,THETA4,THETA5,THETA6,THETA7,THETA8,THETA9,THETA10,THETA11,THETA12,THETA13,THETA14,THETA15
1,437,457,450,458,471,87,30,35,44,107,115,118,17,32,16,19.1692165093,64.3243933284,13.5098634354,31.8118123938,52.0841126318,54.4387074954,28.4466668351,34.6229582042,47.2950868676,77.7888174808,89.0281649978,96.4726735581,22.4691920764,44.8673890889,22.6307851032
1,497,511,514,525,532,111,44,42,41,128,133,134,18,34,17,26.3564591487,63.5185528128,37.9686432868,49.4506344849,60.2463329563,73.2091780532,46.6203955744,44.5609712213,42.6765849381,99.4978293831,112.6981379028,115.6146337758,21.5843091031,44.5608591645,23.8986031603
1,463,494,484,497,506,107,47,55,55,143,149,141,15,27,15,13.1897162352,66.0866995372,41.0918659472,53.3498441304,58.0190490539,67.1524833695,42.6258959912,52.2812983501,53.876335992,107.1732656791,118.9829654951,120.713680743,13.8518068884,23.4667578545,11.5530798894
1,472,466,453,478,493,24,20,16,24,21,23,35,28,41,16,34.710824323,12.501313407,21.4605659238,36.9837725459,52.4728999673,24.1769002073,13.2722962756,14.405489229,20.6404097698,11.440628086,24.5019488539,40.2803369747,18.8459565737,31.9417263911,16.6714556967
1,420,430,440,454,466,83,38,48,53,106,114,113,15,27,15,34.5425355675,59.9339328713,45.106306524,65.5699977983,82.8285619872,61.3108079287,38.0388242641,53.0157379131,59.6761936558,97.1415801761,114.3040992098,116.6232569973,20.4682355015,39.8340815478,22.6101759155
1,453,488,431,448,459,110,23,22,19,120,131,126,24,33,15,16.5427548758,81.9050753697,7.8806018461,30.4758294393,38.3886646781,88.1339147822,13.8827186872,24.5808500745,26.0099095635,89.6255528106,111.4756319752,113.1039184365,22.6030880053,31.2953220693,14.2932351982
1,460,506,449,461,477,107,12,21,36,111,117,117,20,39,20,9.8477097368,79.8039232669,10.7282182745,23.3929903599,43.0180440993,71.091639335,3.7432676995,20.5664132833,39.4616451047,72.7154819739,80.3128718677,83.2122685997,16.824069716,35.8142903857,19.6480737504
1,497,521,501,513,522,104,38,41,37,130,135,129,15,28,16,28.2116399177,69.8063167077,34.5275800023,47.4200119298,54.3753010852,74.8908610217,38.3765987848,43.1260935924,40.3171585219,104.108639772,115.3100793532,115.1750339338,14.4536243088,27.5125951032,15.4625116514
1,487,484,510,521,526,70,42,51,50,109,117,112,17,25,12,7.8262002543,50.7975210684,43.6523198757,60.6956901291,64.4008258012,45.2452633567,49.8830046163,64.8429852455,66.3296230369,94.411933845,109.6120989135,107.3844719489,23.2079597723,36.5200058808,16.150514599
1,418,444,415,430,443,86,42,51,50,127,134,128,16,29,17,32.9935940904,71.2293035729,33.3575567496,47.8153544201,59.4195576057,55.098876379,40.503843926,52.3022504226,53.8867512933,94.7911229151,107.3966327572,106.8444193829,14.7625846239,26.7767755028,15.8235810202
1,484,521,460,471,486,95,28,29,30,117,120,114,17,33,18,8.1070051678,78.745268437,7.5927485424,20.2927471705,32.4997779003,71.2089774244,12.8740111432,23.8434304894,33.0447974075,83.8292880843,91.4512148896,90.2891599543,12.725945699,25.6499561562,14.7065747934
1,458,423,440,457,464,125,55,52,43,139,146,143,17,27,13,77.9980923684,60.6757974132,53.8161703489,73.8504306866,83.6636091798,85.4720554494,58.6771852067,56.3649619987,44.9552691254,109.1689926165,125.9166545048,125.2578420144,20.0893915354,32.6977587726,16.001177701
1,431,458,423,430,443,98,39,34,29,128,128,121,13,27,16,25.9392798096,71.463451029,29.5285297509,35.8369068515,41.7438172644,74.130838595,35.6206422079,32.8394075053,31.3547056893,100.8221973789,104.4390439183,105.3995205105,11.3572597889,21.4024557123,10.1366286983
1,421,431,429,442,453,88,47,52,51,135,138,132,14,28,15,23.7048484936,65.7828819376,52.0033154196,65.0198968162,74.9917862473,60.473370582,51.8059208746,61.2148955396,65.7369072752,112.2461775922,120.9472942078,120.9333843895,13.731867725,27.2972261266,14.6921094861
1,410,434,427,438,448,77,42,50,50,114,117,110,13,24,14,18.572636688,62.8742753355,40.1190963335,52.5919851687,58.9582793229,54.5876980156,41.2424233341,50.8056090566,53.4291942178,95.6155903995,103.3340455402,102.0614553626,13.0281738325,22.1330492013,10.604935087
1,469,502,491,493,501,85,36,38,44,108,111,110,14,26,13,12.5545682002,69.8228912963,22.4881174333,25.8377087746,37.6784457537,57.4598698058,34.4323808145,37.2842717133,45.3515726656,89.2683159878,94.3176552661,96.0257797526,20.5316983803,39.6044111695,19.1693272421
1,477,502,498,531,541,80,54,72,75,128,130,127,34,45,14,24.3706755722,60.6329334243,40.6743878613,66.1936842582,79.8451783945,47.0072127233,43.3786467671,67.2320332715,73.9301957889,90.2388925935,112.1932420107,112.012652542,25.7909807512,39.8718589039,18.8870912695
1,575,548,553,543,527,68,63,73,83,119,125,128,13,31,18,121.7090596194,89.8657830288,105.2162704962,93.5450481638,72.8531379343,37.8080928054,65.6710115679,80.5411969994,100.4253019915,92.0059188034,102.593884592,112.2356088749,15.6368169946,38.6019791726,23.2616833407
1,475,503,463,475,487,88,28,32,31,116,119,114,14,27,15,15.1845371134,76.2294039886,26.1349471355,38.4611673236,48.0731030694,73.6466223969,26.2727524061,35.7220579728,40.6942229967,99.6477176137,109.0471981927,109.3165140701,12.5976667345,24.8878387384,14.2224678473
1,490,470,498,507,513,99,21,26,27,117,122,117,15,26,14,26.011374413,47.016661645,47.2213991853,56.3196661391,58.2035722759,73.0183342283,23.2925919917,30.309488234,33.8162458921,93.1883110006,103.3085450124,103.347041404,16.2717177655,28.4927950114,13.6694091227
1,400,399,409,424,440,74,16,32,47,68,81,94,20,36,17,19.4234897475,55.5137928988,37.8749225487,56.7683143664,76.9616656047,44.1157926206,18.4974724105,38.2352748941,59.4140192821,36.4040881535,51.3509537901,67.7594735547,22.8873448112,44.6131342495,21.7703115008
1,478,540,478,488,501,109,35,43,44,137,143,135,15,25,14,24.3652368901,87.7719629471,19.0032951859,33.2281528826,40.9080642243,73.4069497082,33.5799357642,43.6446548901,46.0436112727,104.9229451095,116.9213566929,118.8346909469,14.2594244183,22.7678909264,10.1097429447
1,479,552,476,484,499,110,12,15,28,113,119,118,16,33,18,29.0991159557,97.7068100213,17.3014392284,26.6666528975,46.5773803935,80.4268858445,12.4611863997,13.8793566121,28.8103907983,85.0699812385,93.9709657257,97.2312324547,17.1749231214,37.1268817926,20.6067753264
1,763,644,555,567,560,300,257,268,285,147,129,129,28,42,18,80.1249403691,58.9232459945,37.412440986,38.1429312527,36.0373511976,55.8629362321,49.1363827432,52.1777918568,56.1496752426,28.5753280925,24.5300725522,24.4918201422,5.0220794122,8.3151997481,3.9893746652
1,431,449,430,446,464,124,18,25,37,133,141,143,18,35,18,32.8153783169,66.3478503356,30.5223183509,47.234659647,64.3715571689,81.5858976443,16.0582640665,23.1162938345,35.2115146872,91.5322612212,104.6126114882,113.8851695509,16.7523448587,34.3881624657,18.0264516067
1,430,470,432,438,452,140,34,23,26,135,140,139,15,28,15,32.1188285619,77.4159976319,23.9727002319,30.5489619821,42.4716952208,99.5696744527,32.9322267762,20.4279093871,17.6524394401,99.2417542776,107.6954406362,116.3189197467,16.0803054926,31.1395715773,15.12273921
1,435,438,459,468,476,76,31,39,43,96,100,100,10,19,11,23.0392260327,58.7595300891,60.4683987169,78.4378379009,93.382668807,72.2285576524,47.9656212084,62.7760942898,73.0329077026,118.701977478,135.0036333769,139.3676785602,18.8275059504,39.606979785,22.5386293601
1,503,540,517,529,536,91,28,37,39,106,110,107,13,22,11,17.4007997483,79.4639005218,36.6558880172,54.8897160584,64.7062504659,84.402932827,35.0462853162,48.923171851,53.4734507852,116.0933906337,133.1629535046,134.5352145498,19.2896059228,34.3607018545,18.088932683
1,473,568,478,484,496,112,54,61,60,148,151,141,13,25,16,32.2027304961,102.4916699753,15.215129078,25.283736405,32.1535365126,70.9916948359,47.2902853931,55.1516288645,55.5264395676,117.6788109244,126.0491796744,123.0152943091,12.6397807425,24.7422920357,14.2386501648
1,451,451,436,448,463,90,35,23,19,93,98,99,17,34,18,37.6625244056,53.7412024302,19.6699332265,31.4288608401,44.6220314773,72.1186614947,31.478485345,21.8223921391,15.93690547,73.0327752823,81.1537131374,87.1815144,14.6912025782,30.6744430016,16.215392556
1,525,557,530,531,542,146,41,25,22,131,131,134,18,35,19,42.9611885533,76.9719938212,27.9809793265,28.8469272281,47.6612246398,108.2735232568,39.3332417226,18.2000216793,5.3712723613,102.8681180635,103.4357073583,109.5269602081,21.6911466937,44.5899984349,23.5696254817
1,421,426,430,462,467,20,110,54,56,129,42,51,154,147,19,9.6489490752,25.6081514793,55.7926541206,61.5643995469,65.4786568536,17.4258221396,64.9704798973,51.9426423613,56.2699353131,81.2397851308,38.5652755807,48.4373648772,115.809471784,112.2799789049,18.9152021563
1,464,499,474,486,496,100,41,50,51,133,140,137,17,30,16,16.0590162762,71.2306531572,28.6045396861,43.363822449,51.370012115,63.5791635111,40.2720000478,51.0201387254,53.5681962243,99.674912115,114.0069239173,116.2425737855,17.4092654609,31.6884140201,16.6104824464
1,511,565,508,521,539,110,13,23,38,120,127,128,18,36,20,20.3699033055,76.8951841144,14.1806733858,26.9486854034,41.6147166552,72.3796932006,10.3220456243,17.9519709095,30.1532620753,80.4614052167,90.0697353384,98.5431180438,13.6336693402,28.2409928795,14.708510301
1,401,408,378,397,414,100,28,6,14,91,98,96,22,37,17,48.8985324897,65.3414665946,35.291394222,46.3792741658,60.0523667361,84.0284527253,18.9017074762,4.4776690283,12.9301076099,67.0190078182,79.5965685633,83.0181628873,14.6714557286,26.1648637768,13.8881134228
1,444,455,447,457,471,96,34,33,36,112,117,116,13,28,16,36.147392088,62.5554290369,36.109795279,47.8144015104,61.9963148721,75.4440088983,35.2448615226,34.7667899287,37.8062226852,97.6524482734,106.2433554072,113.2455540478,13.9640332137,31.2307056671,17.3928320929
1,484,479,435,479,492,131,60,26,18,106,128,128,51,63,17,54.2599396534,63.3822348791,7.7060136539,42.4888277664,56.1730254193,101.9844434523,46.6450572482,25.3009807639,11.6920503289,67.6313682865,103.8388357534,110.7405240541,36.7287334888,49.1079536729,18.3382115163
1,443,447,471,488,498,103,47,58,61,135,144,141,18,30,15,27.4786561739,54.3404266395,49.4403714886,68.4809987229,79.331027625,62.5507131744,42.1590900278,55.4188662709,60.2182296425,101.7341467615,117.8510977949,121.1126616843,19.793144054,34.3591734293,16.390669935
1,451,477,450,471,478,115,46,45,40,127,129,126,23,34,13,41.3173156261,74.4862789723,31.0715577675,51.8198405384,60.8771555017,86.0111275413,48.0276489329,48.4531044176,40.3247105907,105.296348531,125.387235934,125.9469487491,23.8336430625,39.9783371291,19.5754233663
1,480,486,503,518,529,104,46,56,60,127,137,138,15,28,15,36.1102375325,60.9456339416,46.7366338781,68.8501266406,86.0412334154,66.940110914,45.2735706445,60.0985789878,65.661652639,105.2985579528,125.4787517771,131.3586921556,22.1569791189,42.0452013088,22.6537537211
1,452,493,441,455,476,83,15,23,36,91,95,93,19,38,21,24.2646396481,72.484664343,25.8681445785,36.4428684344,51.3369169817,56.4184002862,5.0480384448,17.5700983281,31.61151412,59.7618250849,64.3733656017,66.1665112688,12.8655460054,27.418668572,15.0146047891
1,498,559,519,526,531,131,39,39,37,139,143,136,15,25,14,19.0061004103,87.1334689889,41.1715603727,50.2133226744,50.8074874657,99.4951098569,40.2522561368,41.2613911353,35.8883289027,123.3017522761,137.1143936203,135.2236191862,18.0456258491,32.2582129681,16.5950693106
1,501,526,493,508,524,131,18,19,26,137,143,138,17,31,17,41.5739017111,73.4748609704,31.4670397115,46.1205330798,58.6865506853,89.4212180298,16.444011569,17.3783154808,21.4761580946,94.784024737,105.8645908889,109.2840469497,14.719884022,27.4261705451,13.7874645146
1,501,526,493,508,524,131,18,19,26,137,143,138,17,31,17,41.5739017111,73.4748609704,31.4670397115,46.1205330798,58.6865506853,89.4212180298,16.444011569,17.3783154808,21.4761580946,94.784024737,105.8645908889,109.2840469497,14.719884022,27.4261705451,13.7874645146
1,427,422,415,425,437,88,27,20,17,96,99,95,12,24,14,48.4539734835,60.8433592434,27.5636024511,40.835754897,52.4012737076,69.2378655973,30.6999259785,22.4174186181,14.3857599164,78.6297844672,83.9888248713,83.3725047938,13.9867298085,27.7759679707,14.5727663257
